                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.9977,                  5.063,                 4.2618,                0.00085,                0.25741,                0.00451,                0.00087,                 2.8783,                 4.8806,                 4.1583,                  3e-05,                  3e-05,                  3e-05
                      2,                 2.8882,                 5.0352,                 4.2329,                 0.0009,                0.29444,                0.00489,                0.00075,                 2.8772,                 4.8816,                 4.1574,             6.9931e-05,             6.9931e-05,             6.9931e-05
                      3,                 3.0254,                  4.945,                 4.1817,                0.00104,                0.32407,                0.00627,                0.00082,                 2.8756,                 4.8836,                 4.1558,             0.00010978,             0.00010978,             0.00010978
                      4,                 3.0809,                 5.1262,                 4.1848,                0.00103,                0.32593,                0.00371,                0.00057,                 2.8731,                 4.8849,                 4.1532,             0.00014955,             0.00014955,             0.00014955
                      5,                 2.9788,                 4.9104,                 4.1294,                0.00096,                0.30926,                0.00283,                 0.0005,                 2.8706,                  4.885,                 4.1509,             0.00018925,             0.00018925,             0.00018925
                      6,                 2.9645,                 4.9437,                 4.1268,                0.00109,                0.34444,                0.00286,                0.00054,                 2.8664,                 4.8854,                 4.1465,             0.00022886,             0.00022886,             0.00022886
                      7,                  3.104,                 4.9101,                 4.1162,                0.00102,                0.32963,                 0.0026,                0.00061,                 2.8607,                 4.8838,                 4.1403,              0.0002684,              0.0002684,              0.0002684
                      8,                 2.8705,                 4.9173,                 4.0769,                0.00104,                 0.3463,                0.00245,                 0.0006,                 2.8538,                 4.8808,                 4.1318,             0.00030785,             0.00030785,             0.00030785
                      9,                 2.9491,                 4.7256,                 4.0237,                0.00095,                0.32593,                0.00311,                0.00066,                 2.8452,                 4.8736,                 4.1196,             0.00034723,             0.00034723,             0.00034723
                     10,                 2.9927,                 4.6862,                  3.998,                0.00092,                0.33148,                0.00367,                0.00074,                 2.8352,                 4.8608,                 4.1048,             0.00038653,             0.00038653,             0.00038653
                     11,                 2.8668,                 4.5084,                 3.9316,                0.00096,                0.34815,                0.00429,                0.00088,                 2.8232,                 4.8385,                 4.0885,             0.00042574,             0.00042574,             0.00042574
                     12,                 2.8485,                 4.4351,                 3.8313,                0.00095,                0.34815,                 0.0032,                0.00067,                  2.814,                 4.8071,                 4.0767,             0.00046488,             0.00046488,             0.00046488
                     13,                 3.0132,                 4.3005,                  3.808,                0.00094,                0.32963,                0.00464,                0.00088,                 2.8018,                 4.7679,                 4.0645,             0.00050394,             0.00050394,             0.00050394
                     14,                 2.6191,                 4.1496,                 3.6374,                0.00116,                0.32963,                0.00496,                0.00091,                 2.7958,                 4.7504,                 4.0591,             0.00054292,             0.00054292,             0.00054292
                     15,                 2.8045,                 4.2885,                 3.6568,                0.00118,                0.36481,                0.02298,                0.00402,                 2.8097,                 4.7207,                 4.0819,             0.00058182,             0.00058182,             0.00058182
                     16,                 2.8313,                 4.1331,                 3.6105,                0.00112,                0.36481,                0.04405,                0.00615,                 2.8008,                 4.7184,                 4.0703,             0.00062064,             0.00062064,             0.00062064
                     17,                 2.7093,                  4.209,                 3.6111,                 0.0012,                0.38148,                0.04143,                0.00586,                 2.7932,                 4.7214,                 4.0593,             0.00065939,             0.00065939,             0.00065939
                     18,                 2.7789,                 4.2029,                 3.5437,                0.00116,                0.36296,                0.01919,                0.00278,                 2.7876,                 4.7309,                 4.0488,             0.00069805,             0.00069805,             0.00069805
                     19,                 2.5915,                 3.9579,                 3.5128,                0.00104,                0.33148,                0.08206,                0.01623,                 2.7637,                 4.7481,                 4.0136,             0.00073664,             0.00073664,             0.00073664
                     20,                 2.6658,                 3.9955,                 3.5338,                0.00106,                0.33148,                0.05324,                 0.0096,                 2.7298,                 4.7754,                 3.9618,             0.00077514,             0.00077514,             0.00077514
                     21,                  2.657,                 4.1974,                 3.5147,                0.00127,                0.38148,                0.01906,                0.00328,                 2.6681,                  4.854,                 3.8319,             0.00081357,             0.00081357,             0.00081357
                     22,                 2.5133,                  3.827,                 3.3676,                0.00115,                0.34815,                0.01943,                0.00342,                 2.6312,                   4.84,                  3.693,             0.00085191,             0.00085191,             0.00085191
                     23,                 2.4889,                 3.8354,                 3.4107,                0.00178,                0.53148,                0.01031,                0.00185,                 2.6617,                 4.7866,                  3.645,             0.00089018,             0.00089018,             0.00089018
                     24,                 2.5268,                 3.6938,                 3.3094,                0.00214,                0.64815,                0.01273,                0.00369,                 2.7515,                 4.6586,                 3.5475,             0.00092837,             0.00092837,             0.00092837
                     25,                  2.476,                 3.9622,                 3.2653,                0.00363,                      1,                0.03874,                0.01552,                  2.483,                  4.386,                  3.279,             0.00096648,             0.00096648,             0.00096648
                     26,                 2.5332,                 3.9216,                  3.309,                0.68218,                0.31667,                0.08225,                 0.0351,                 2.2084,                 4.5697,                 3.1284,             0.00097525,             0.00097525,             0.00097525
                     27,                 2.5526,                 3.8858,                 3.2731,                0.60996,                0.33333,                0.16575,                0.06591,                 2.1938,                 4.3607,                 3.1274,             0.00097426,             0.00097426,             0.00097426
                     28,                 2.5084,                 3.7686,                 3.2697,                0.00236,                0.68148,                0.07819,                0.02905,                 2.4664,                 4.5334,                 3.3651,             0.00097327,             0.00097327,             0.00097327
                     29,                 2.3922,                 3.8996,                 3.2041,                0.00426,                0.96296,                0.15541,                0.04997,                   2.33,                 4.2454,                 3.2827,             0.00097228,             0.00097228,             0.00097228
                     30,                 2.3958,                 3.6014,                 3.2318,                0.00323,                 0.7037,                  0.058,                0.01472,                 2.7885,                 4.7358,                 3.7153,             0.00097129,             0.00097129,             0.00097129
                     31,                 2.2095,                 3.4771,                 3.1142,                0.00228,                0.52037,                0.05569,                0.01484,                 3.6177,                 4.7721,                 4.9489,              0.0009703,              0.0009703,              0.0009703
                     32,                   2.39,                 3.5317,                   3.21,                0.35074,                0.27963,                0.26221,                0.06921,                 3.3864,                 5.3607,                  5.568,             0.00096931,             0.00096931,             0.00096931
                     33,                  2.216,                  3.548,                 3.1393,                0.73952,                0.26111,                0.16388,                  0.055,                 3.8142,                 6.7413,                 7.4284,             0.00096832,             0.00096832,             0.00096832
                     34,                  2.329,                 3.4792,                 3.0825,                0.00117,                0.36481,                0.04818,                0.01059,                 4.5002,                 5.6455,                 13.595,             0.00096733,             0.00096733,             0.00096733
                     35,                 2.3427,                  3.457,                 3.0353,                 0.9041,                   0.15,                 0.2184,                0.07239,                 3.1856,                 11.744,                 7.2397,             0.00096634,             0.00096634,             0.00096634
                     36,                 2.2897,                 3.4641,                 3.0466,                0.53039,                0.31481,                0.13654,                0.04019,                 3.9429,                  4.687,                 7.4281,             0.00096535,             0.00096535,             0.00096535
                     37,                  2.434,                 3.3145,                 3.1132,                0.00057,                0.19815,                0.00149,                0.00027,                 4.4688,                 5.2313,                 9.1151,             0.00096436,             0.00096436,             0.00096436
                     38,                 2.1792,                 3.3685,                  2.972,                0.00043,                 0.1463,                0.00076,                0.00014,                 4.4937,                 5.2069,                 8.4018,             0.00096337,             0.00096337,             0.00096337
                     39,                 2.2219,                 3.2629,                 2.9394,                0.00046,                0.14815,                0.00114,                0.00045,                 4.5104,                 5.2481,                 7.6854,             0.00096238,             0.00096238,             0.00096238
                     40,                 2.1669,                 3.1318,                 2.9476,                0.00062,                0.18148,                0.00197,                0.00059,                 4.5582,                 5.3517,                 7.6063,             0.00096139,             0.00096139,             0.00096139
                     41,                 2.2016,                 3.1816,                 2.9717,                0.00211,                0.20741,                0.00201,                0.00044,                 4.5876,                 5.4088,                  8.036,              0.0009604,              0.0009604,              0.0009604
                     42,                 2.1738,                 3.1272,                 2.9521,                 0.0019,                0.19259,                  0.004,                0.00075,                 4.5097,                  5.422,                    7.6,             0.00095941,             0.00095941,             0.00095941
                     43,                 2.2142,                 3.2005,                 2.9073,                0.00043,                0.12593,                0.00043,                  7e-05,                 4.1168,                 5.0874,                 5.5092,             0.00095842,             0.00095842,             0.00095842
                     44,                 2.1257,                 3.0769,                 2.8649,                0.00154,                0.32407,                0.03256,                 0.0044,                 3.3296,                 4.7999,                 4.3979,             0.00095743,             0.00095743,             0.00095743
                     45,                 2.0975,                 3.1551,                 2.8771,                0.00082,                   0.25,                0.00088,                 0.0002,                 2.9616,                 4.8293,                 4.1325,             0.00095644,             0.00095644,             0.00095644
                     46,                   2.24,                 3.3627,                 2.9303,                0.00401,                0.96667,                0.39536,                0.14442,                 2.4424,                 4.3024,                  3.377,             0.00095545,             0.00095545,             0.00095545
                     47,                 2.0625,                 3.1761,                 2.8282,                0.60451,                0.18355,                0.41841,                0.21073,                 2.0473,                 3.3907,                 2.9321,             0.00095446,             0.00095446,             0.00095446
                     48,                 2.0088,                 3.1095,                 2.7855,                0.57449,                0.57831,                0.40319,                0.20877,                 1.9822,                 3.2711,                 2.8848,             0.00095347,             0.00095347,             0.00095347
                     49,                 2.0791,                 3.0414,                 2.7793,                0.73141,                0.57593,                 0.5212,                0.25042,                 2.1159,                 4.2227,                 2.9664,             0.00095248,             0.00095248,             0.00095248
                     50,                 2.2114,                  3.144,                 2.9086,                0.68167,                0.46481,                0.49417,                0.20015,                 2.3592,                 3.5083,                 3.1763,             0.00095149,             0.00095149,             0.00095149
                     51,                 2.0564,                  2.939,                 2.8176,                 0.6906,                0.50127,                0.46276,                0.23954,                 1.9475,                 3.2864,                 2.9667,              0.0009505,              0.0009505,              0.0009505
                     52,                 1.9598,                 2.9755,                 2.7576,                0.00418,                   0.95,                0.35843,                0.21571,                 1.7854,                 3.9065,                 3.1076,             0.00094951,             0.00094951,             0.00094951
                     53,                 2.0049,                 2.9108,                 2.7793,                0.00523,                   0.95,                0.31364,                0.18399,                 1.9998,                 4.2546,                  3.223,             0.00094852,             0.00094852,             0.00094852
                     54,                 2.0971,                 2.8336,                 2.7985,                0.63052,                  0.535,                0.49836,                0.30147,                 1.6912,                 3.0485,                 2.7033,             0.00094753,             0.00094753,             0.00094753
                     55,                 2.0022,                 2.8776,                 2.7186,                0.59004,                0.60698,                0.52532,                 0.3439,                 1.6253,                 3.0178,                   2.63,             0.00094654,             0.00094654,             0.00094654
                     56,                 2.0247,                  2.779,                 2.7867,                0.57821,                0.66387,                0.61843,                0.38433,                  1.529,                 2.6702,                 2.5279,             0.00094555,             0.00094555,             0.00094555
                     57,                  1.898,                 2.6405,                  2.692,                0.61317,                0.51812,                  0.697,                0.36911,                 1.7936,                 2.7671,                  2.661,             0.00094456,             0.00094456,             0.00094456
                     58,                 1.9487,                 2.7456,                  2.667,                0.67804,                 0.2905,                0.67458,                 0.3141,                  1.874,                 3.1281,                 2.7829,             0.00094357,             0.00094357,             0.00094357
                     59,                 2.0058,                 2.9517,                 2.6418,                0.59594,                0.44137,                0.60843,                0.28888,                 1.8241,                 3.1347,                  2.773,             0.00094258,             0.00094258,             0.00094258
                     60,                 1.9689,                  2.849,                 2.6339,                0.70417,                0.49774,                0.63376,                 0.3062,                 1.6545,                 3.0445,                 2.6644,             0.00094159,             0.00094159,             0.00094159
                     61,                 2.0619,                 2.9537,                 2.7708,                0.45447,                0.76552,                0.65052,                  0.367,                 1.5574,                 3.0202,                 2.4931,              0.0009406,              0.0009406,              0.0009406
                     62,                 2.1084,                 2.8578,                 2.7691,                0.42545,                0.77385,                0.65355,                 0.3778,                 1.8145,                 3.5917,                 2.6678,             0.00093961,             0.00093961,             0.00093961
                     63,                 1.9729,                 2.6532,                  2.682,                0.46535,                0.78717,                0.69737,                0.33931,                 2.0156,                 3.7658,                 2.7677,             0.00093862,             0.00093862,             0.00093862
                     64,                 2.0039,                 2.6438,                 2.6567,                0.45811,                0.85474,                0.78954,                0.47138,                 1.6533,                 3.8769,                 2.4546,             0.00093763,             0.00093763,             0.00093763
                     65,                 1.9836,                 2.8502,                 2.7075,                0.53111,                0.77032,                 0.7688,                0.48919,                 1.4525,                  2.689,                 2.3228,             0.00093664,             0.00093664,             0.00093664
                     66,                 1.9529,                 2.7991,                 2.7659,                 0.5797,                0.71459,                0.70147,                0.41785,                 1.4588,                 2.4256,                 2.4264,             0.00093565,             0.00093565,             0.00093565
                     67,                 2.0098,                 2.6339,                 2.7123,                0.57376,                0.64606,                0.70898,                  0.368,                 1.5545,                 2.4975,                 2.4846,             0.00093466,             0.00093466,             0.00093466
                     68,                 1.7622,                 2.4073,                 2.5818,                0.53756,                0.74064,                0.65159,                 0.2813,                 1.9652,                 2.4902,                  2.784,             0.00093367,             0.00093367,             0.00093367
                     69,                 1.8902,                 2.6336,                  2.625,                0.56857,                0.72949,                0.66616,                0.32527,                 1.9102,                 2.7069,                 2.6867,             0.00093268,             0.00093268,             0.00093268
                     70,                 1.8159,                 2.5547,                 2.5541,                 0.5565,                  0.883,                0.79416,                0.45129,                 1.5597,                 2.7873,                 2.3854,             0.00093169,             0.00093169,             0.00093169
                     71,                 1.7927,                 2.4885,                 2.5441,                0.52889,                0.93756,                0.83583,                0.50287,                 1.5142,                 2.8466,                 2.3367,              0.0009307,              0.0009307,              0.0009307
                     72,                 1.8576,                 2.5398,                 2.5024,                0.59592,                0.84742,                0.83827,                0.51677,                 1.5113,                 2.9077,                 2.3299,             0.00092971,             0.00092971,             0.00092971
                     73,                 1.8466,                 2.5203,                  2.572,                 0.6721,                0.87593,                0.85753,                0.54469,                 1.4459,                 2.4406,                 2.2733,             0.00092872,             0.00092872,             0.00092872
                     74,                  1.783,                 2.4451,                 2.5468,                0.66064,                0.86667,                 0.8456,                0.55126,                 1.3408,                  2.024,                 2.2121,             0.00092773,             0.00092773,             0.00092773
                     75,                 1.9548,                 2.6431,                 2.6184,                0.73956,                0.81102,                0.83758,                0.55071,                 1.3024,                 2.0137,                 2.2276,             0.00092674,             0.00092674,             0.00092674
                     76,                 1.9397,                 2.4723,                 2.5923,                0.72197,                 0.8229,                0.84024,                0.56987,                 1.2966,                 2.1471,                 2.2775,             0.00092575,             0.00092575,             0.00092575
                     77,                 1.9251,                 2.5438,                 2.6794,                 0.6945,                0.79635,                0.82909,                 0.5545,                 1.2827,                 2.2299,                 2.2646,             0.00092476,             0.00092476,             0.00092476
                     78,                 1.8843,                 2.3739,                 2.5953,                0.77938,                 0.3176,                0.74823,                0.36675,                 1.8001,                 2.8623,                 2.6396,             0.00092377,             0.00092377,             0.00092377
                     79,                 2.0103,                 2.6553,                 2.6326,                0.86665,                0.29897,                0.67761,                0.32408,                 1.8561,                 3.0507,                 2.7198,             0.00092278,             0.00092278,             0.00092278
                     80,                 1.7783,                 2.3988,                 2.4595,                0.51529,                0.63333,                0.78034,                0.48232,                 1.4819,                 2.6173,                 2.3988,             0.00092179,             0.00092179,             0.00092179
                     81,                 1.7649,                 2.4013,                  2.533,                0.49047,                0.83941,                0.76192,                 0.4597,                 1.4236,                  2.416,                 2.3183,              0.0009208,              0.0009208,              0.0009208
                     82,                 1.7998,                 2.5961,                 2.6088,                0.52499,                0.86481,                0.78312,                0.48614,                  1.382,                 2.2457,                 2.2636,             0.00091981,             0.00091981,             0.00091981
                     83,                 1.8169,                 2.4715,                 2.5523,                0.73307,                0.79815,                0.76283,                 0.4455,                   1.52,                 2.3562,                 2.3259,             0.00091882,             0.00091882,             0.00091882
                     84,                 1.7167,                 2.3519,                 2.4627,                0.76228,                0.62593,                 0.7356,                0.42203,                 1.4569,                 2.7404,                 2.3065,             0.00091783,             0.00091783,             0.00091783
                     85,                 1.7464,                 2.5566,                 2.4747,                0.83365,                0.72563,                0.82561,                0.48373,                 1.4352,                 2.3339,                 2.3018,             0.00091684,             0.00091684,             0.00091684
                     86,                 1.8255,                 2.3881,                 2.4783,                0.86341,                0.77113,                0.88565,                0.54846,                 1.4001,                 1.9403,                 2.3184,             0.00091585,             0.00091585,             0.00091585
                     87,                 1.7294,                 2.5655,                 2.4979,                0.74783,                0.82457,                0.90759,                  0.601,                 1.3158,                 1.8691,                 2.2226,             0.00091486,             0.00091486,             0.00091486
